date,title,holiday_type,is_major_holiday
2018-01-01,New Year’s Day,New Year,TRUE
2018-03-30,Good Friday,Easter,TRUE
2018-04-02,Easter Monday,Easter,TRUE
2018-05-07,Early May bank holiday,Bank Holiday,FALSE
2018-05-28,Spring bank holiday,Bank Holiday,FALSE
2018-08-27,Summer bank holiday,Bank Holiday,FALSE
2018-12-25,Christmas Day,Christmas,TRUE
2018-12-26,Boxing Day,Christmas,TRUE
2019-01-01,New Year’s Day,New Year,TRUE
2019-04-19,Good Friday,Easter,TRUE
2019-04-22,Easter Monday,Easter,TRUE
2019-05-06,Early May bank holiday,Bank Holiday,FALSE
2019-05-27,Spring bank holiday,Bank Holiday,FALSE
2019-08-26,Summer bank holiday,Bank Holiday,FALSE
2019-12-25,Christmas Day,Christmas,TRUE
2019-12-26,Boxing Day,Christmas,TRUE
2020-01-01,New Year’s Day,New Year,TRUE
2020-04-10,Good Friday,Easter,TRUE
2020-04-13,Easter Monday,Easter,TRUE
2020-05-08,Early May bank holiday (VE day),Bank Holiday,FALSE
2020-05-25,Spring bank holiday,Bank Holiday,FALSE
2020-08-31,Summer bank holiday,Bank Holiday,FALSE
2020-12-25,Christmas Day,Christmas,TRUE
2020-12-28,Boxing Day,Christmas,TRUE
2021-01-01,New Year’s Day,New Year,TRUE
2021-04-02,Good Friday,Easter,TRUE
2021-04-05,Easter Monday,Easter,TRUE
2021-05-03,Early May bank holiday,Bank Holiday,FALSE
2021-05-31,Spring bank holiday,Bank Holiday,FALSE
2021-08-30,Summer bank holiday,Bank Holiday,FALSE
2021-12-27,Christmas Day,Christmas,TRUE
2021-12-28,Boxing Day,Christmas,TRUE
2022-01-03,New Year’s Day,New Year,TRUE
2022-04-15,Good Friday,Easter,TRUE
2022-04-18,Easter Monday,Easter,TRUE
2022-05-02,Early May bank holiday,Bank Holiday,FALSE
2022-06-02,Spring bank holiday,Bank Holiday,FALSE
2022-06-03,Platinum Jubilee bank holiday,Bank Holiday,FALSE
2022-08-29,Summer bank holiday,Bank Holiday,FALSE
2022-09-19,Bank Holiday for the State Funeral of Queen Elizabeth II,Other,FALSE
2022-12-26,Boxing Day,Christmas,TRUE
2022-12-27,Christmas Day,Christmas,TRUE
2023-01-02,New Year’s Day,New Year,TRUE
2023-04-07,Good Friday,Easter,TRUE
2023-04-10,Easter Monday,Easter,TRUE
2023-05-01,Early May bank holiday,Bank Holiday,FALSE
2023-05-08,Bank holiday for the coronation of King Charles III,Other,FALSE
2023-05-29,Spring bank holiday,Bank Holiday,FALSE
2023-08-28,Summer bank holiday,Bank Holiday,FALSE
2023-12-25,Christmas Day,Christmas,TRUE
2023-12-26,Boxing Day,Christmas,TRUE
2024-01-01,New Year’s Day,New Year,TRUE
2024-03-29,Good Friday,Easter,TRUE
2024-04-01,Easter Monday,Easter,TRUE
2024-05-06,Early May bank holiday,Bank Holiday,FALSE
2024-05-27,Spring bank holiday,Bank Holiday,FALSE
2024-08-26,Summer bank holiday,Bank Holiday,FALSE
2024-12-25,Christmas Day,Christmas,TRUE
2024-12-26,Boxing Day,Christmas,TRUE
2025-01-01,New Year’s Day,New Year,TRUE
2025-04-18,Good Friday,Easter,TRUE
2025-04-21,Easter Monday,Easter,TRUE
2025-05-05,Early May bank holiday,Bank Holiday,FALSE
2025-05-26,Spring bank holiday,Bank Holiday,FALSE
2025-08-25,Summer bank holiday,Bank Holiday,FALSE
2025-12-25,Christmas Day,Christmas,TRUE
2025-12-26,Boxing Day,Christmas,TRUE
