date,temp_c,precip_mm,humidity_avg,sunshine_hours,TCI,weather_quality,TCI_category,is_forecast
2015-01-01,7.95,1.4,91,0,52,0.52,Acceptable,FALSE
2015-01-02,7.7,0.2,78,5.773525,64,0.64,Good,FALSE
2015-01-03,3.95,11.4,89.5,0,37,0.37,Unfavorable,FALSE
2015-01-04,1.7,0,89,6.11853333333333,56,0.56,Acceptable,FALSE
2015-01-05,6.65,0,91.5,0.719458333333333,51,0.51,Acceptable,FALSE
2015-01-06,5.55,0.2,86.5,1.53930555555556,58,0.58,Acceptable,FALSE
2015-01-07,5.2,0,84.5,3.22825833333333,62,0.62,Good,FALSE
2015-01-08,8.3,13,86,2.43850555555556,52,0.52,Acceptable,FALSE
2015-01-09,10.7,0.3,82.5,5,66,0.66,Good,FALSE
2015-01-10,8,0.5,66,3.50681666666667,58,0.58,Acceptable,FALSE
2015-01-11,5.25,0,71.5,6.37913888888889,64,0.64,Good,FALSE
2015-01-12,9.05,3,83,0,50,0.5,Acceptable,FALSE
2015-01-13,7,7.7,82.5,5.939275,58,0.58,Acceptable,FALSE
2015-01-14,5.05,2.3,76,6.62043333333333,58,0.58,Acceptable,FALSE
2015-01-15,7.45,10.3,70.5,6.50299444444444,56,0.56,Acceptable,FALSE
2015-01-16,2.45,0,74.5,1.1187,50,0.5,Acceptable,FALSE
2015-01-17,1.2,0.7,85,6.35836944444445,61,0.61,Good,FALSE
2015-01-18,0.5,2.9,90,4.80610555555556,47,0.47,Marginal,FALSE
2015-01-19,0.55,0,86,6.29330833333333,55,0.55,Acceptable,FALSE
2015-01-20,0.05,0.4,89.5,4.01428333333333,49,0.49,Marginal,FALSE
2015-01-21,2.55,0.4,88.5,0,38,0.38,Unfavorable,FALSE
2015-01-22,1.25,0,81.5,7.18879166666667,63,0.63,Good,FALSE
2015-01-23,1.75,1.8,82.5,7.042875,58,0.58,Acceptable,FALSE
2015-01-24,3.75,4.1,83,7.44450277777778,56,0.56,Acceptable,FALSE
2015-01-25,3.3,0,84,7.34276666666667,63,0.63,Good,FALSE
2015-01-26,5.85,0.1,78,2.01486111111111,55,0.55,Acceptable,FALSE
2015-01-27,4.85,0,84,5.83801666666667,61,0.61,Good,FALSE
2015-01-28,5.7,1.1,74,3.40209444444445,58,0.58,Acceptable,FALSE
2015-01-29,2.65,1.6,78.5,5.30836388888889,54,0.54,Acceptable,FALSE
2015-01-30,2.65,0.9,84,7.05160555555556,60,0.6,Good,FALSE
2015-01-31,1.4,2,78.5,4.18271111111111,54,0.54,Acceptable,FALSE
2015-02-01,1.4,0.4,70.5,6.18911111111111,58,0.58,Acceptable,FALSE
2015-02-02,-0.55,0,72.5,6.99523333333333,63,0.63,Good,FALSE
2015-02-03,1.45,1.6,80,6.84533611111111,58,0.58,Acceptable,FALSE
2015-02-04,1.85,0,82.5,4.046475,58,0.58,Acceptable,FALSE
2015-02-05,2.15,1.1,78,6.12583888888889,59,0.59,Acceptable,FALSE
2015-02-06,2.3,0,68.5,8.22424166666667,64,0.64,Good,FALSE
2015-02-07,3.35,0,81.5,1.87401666666667,51,0.51,Acceptable,FALSE
2015-02-08,3.6,0,82,7.92431111111111,63,0.63,Good,FALSE
2015-02-09,3.55,0,89,3.65688888888889,55,0.55,Acceptable,FALSE
2015-02-10,3.5,0,86.5,1.56071111111111,52,0.52,Acceptable,FALSE
2015-02-11,3.65,0,86,2.48112777777778,56,0.56,Acceptable,FALSE
2015-02-12,2.55,0,82,1.66621111111111,51,0.51,Acceptable,FALSE
2015-02-13,4.2,4.7,86.5,1.273125,42,0.42,Marginal,FALSE
2015-02-14,5.8,4.8,88.5,3.37202777777778,51,0.51,Acceptable,FALSE
2015-02-15,6.15,0,85,0.765722222222222,51,0.51,Acceptable,FALSE
2015-02-16,5.4,7.3,88,0.383716666666667,42,0.42,Marginal,FALSE
2015-02-17,4.25,0,73.5,8.85689444444444,67,0.67,Good,FALSE
2015-02-18,3.55,0,77.5,8.85107777777778,65,0.65,Good,FALSE
2015-02-19,5.7,8.1,84,1.87661944444444,44,0.44,Marginal,FALSE
2015-02-20,3.95,2.2,85,0,45,0.45,Marginal,FALSE
2015-02-21,2.8,0.6,74.5,8.23653888888889,62,0.62,Good,FALSE
2015-02-22,3.05,6.7,80,4.41482777777778,48,0.48,Marginal,FALSE
2015-02-23,5.9,0.8,78,8.96723611111111,62,0.62,Good,FALSE
2015-02-24,5.6,0,71,8.63713055555555,64,0.64,Good,FALSE
2015-02-25,6.35,0.3,80.5,3.31336666666667,63,0.63,Good,FALSE
2015-02-26,6.8,3.8,83,0,52,0.52,Acceptable,FALSE
2015-02-27,4,0,69.5,7.59770555555556,65,0.65,Good,FALSE
2015-02-28,6.35,2.3,88,0,52,0.52,Acceptable,FALSE
2015-03-01,7.2,1.3,70.5,8.47204166666667,68,0.68,Good,FALSE
2015-03-02,5.05,0,65,9.75091666666667,72,0.72,Very Good,FALSE
2015-03-03,4.85,0.8,70,9.34683055555555,64,0.64,Good,FALSE
2015-03-04,5.05,0.1,69.5,9.85397222222222,72,0.72,Very Good,FALSE
2015-03-05,4.1,0,77.5,7.81964722222222,73,0.73,Very Good,FALSE
2015-03-06,5.9,0,78,9.42605277777778,74,0.74,Very Good,FALSE
2015-03-07,9.3,0,76.5,9.37298055555556,74,0.74,Very Good,FALSE
2015-03-08,8.55,0,86,5.66214722222222,68,0.68,Good,FALSE
2015-03-09,5.25,0.2,84.5,3.96346388888889,62,0.62,Good,FALSE
2015-03-10,6.65,0,74,10.2453333333333,77,0.77,Very Good,FALSE
